kod_chu,DRUH,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0210043,Osmoderma barnabita,2014-12-19,2015-10-02
CZ0212020,Lampetra planeri,2012-08-17,2012-08-17
CZ0213009,Lampetra planeri,2014-09-04,2023-11-14
CZ0213009,Osmoderma barnabita,2013-08-07,2024-07-03
CZ0213015,Osmoderma barnabita,2014-04-22,2015-05-23
CZ0213016,Lampetra planeri,2014-09-23,2014-09-23
CZ0213042,Lampetra planeri,2015-05-29,2023-10-22
CZ0213050,Lampetra planeri,2016-11-24,2025-03-26
CZ0213069,Lampetra planeri,2021-10-23,2023-09-08
CZ0213070,Osmoderma barnabita,2014-01-16,2021-07-30
CZ0213072,Osmoderma barnabita,2012-11-04,2023-04-17
CZ0213076,Lampetra planeri,2014-10-14,2023-10-22
CZ0213083,Osmoderma barnabita,2013-09-24,2022-08-13
CZ0213512,Bombina variegata,2012-04-25,2024-06-03
CZ0213783,Bombina variegata,2012-05-16,2024-08-13
CZ0213787,Bombina variegata,2012-05-15,2024-07-05
CZ0213792,Osmoderma barnabita,2012-06-28,2012-06-28
CZ0213814,Lampetra planeri,2016-07-12,2016-07-12
CZ0213817,Lampetra planeri,2020-10-25,2023-09-03
CZ0213818,Lampetra planeri,2016-08-09,2023-09-03
CZ0213822,Bombina variegata,2018-03-15,2024-07-16
CZ0214007,Osmoderma barnabita,2016-11-01,2019-12-04
CZ0214008,Lampetra planeri,2012-08-22,2024-07-11
CZ0214008,Osmoderma barnabita,2015-01-01,2020-07-29
CZ0214009,Osmoderma barnabita,2021-01-01,2021-01-01
CZ0214011,Bombina variegata,2017-07-12,2021-08-03
CZ0214013,Lampetra planeri,2014-09-23,2014-09-23
CZ0214015,Bombina variegata,2021-05-03,2024-06-29
CZ0214041,Lampetra planeri,2015-09-01,2023-09-03
CZ0214041,Osmoderma barnabita,2020-07-24,2020-07-24
CZ0310001,Osmoderma barnabita,2019-01-01,2019-01-01
CZ0310035,Lampetra planeri,2019-10-25,2019-10-25
CZ0313092,Lampetra planeri,2012-09-20,2023-10-22
CZ0313094,Osmoderma barnabita,2012-09-05,2019-01-01
CZ0313098,Osmoderma barnabita,2020-04-10,2020-04-10
CZ0313099,Osmoderma barnabita,2012-06-19,2022-06-19
CZ0313106,Osmoderma barnabita,2012-02-24,2015-04-11
CZ0313113,Osmoderma barnabita,2012-03-23,2021-09-23
CZ0313128,Osmoderma barnabita,2012-03-16,2024-07-06
CZ0313131,Osmoderma barnabita,2013-06-20,2021-12-07
CZ0313137,Lampetra planeri,2015-11-22,2023-10-08
CZ0313138,Osmoderma barnabita,2013-08-13,2020-04-19
CZ0313140,Lampetra planeri,2012-09-20,2012-09-20
CZ0313805,Lampetra planeri,2014-09-04,2022-10-26
CZ0313822,Lampetra planeri,2019-11-17,2019-11-17
CZ0314019,Osmoderma barnabita,2012-04-23,2022-07-23
CZ0314022,Lampetra planeri,2012-09-07,2024-04-24
CZ0314023,Bombina variegata,2024-04-06,2024-04-06
CZ0314023,Lampetra planeri,2012-10-24,2021-10-13
CZ0314023,Osmoderma barnabita,2012-03-16,2023-03-16
CZ0314024,Bombina variegata,2013-04-15,2014-06-13
CZ0314024,Lampetra planeri,2012-06-09,2024-12-06
CZ0314123,Bombina variegata,2012-08-17,2024-07-12
CZ0314123,Lampetra planeri,2014-10-17,2022-06-02
CZ0314124,Bombina variegata,2016-05-31,2016-05-31
CZ0314124,Lampetra planeri,2012-08-31,2024-03-25
CZ0314126,Lampetra planeri,2012-09-26,2012-09-26
CZ0314126,Osmoderma barnabita,2019-01-01,2020-07-20
CZ0314641,Lampetra planeri,2012-10-19,2024-08-12
CZ0320053,Osmoderma barnabita,2013-10-29,2013-10-29
CZ0320140,Bombina variegata,2014-04-24,2014-04-24
CZ0322055,Bombina variegata,2021-09-21,2021-09-21
CZ0323143,Bombina variegata,2012-04-24,2024-06-08
CZ0323145,Lampetra planeri,2016-07-07,2016-07-08
CZ0323151,Lampetra planeri,2020-11-16,2020-11-16
CZ0323155,Osmoderma barnabita,2022-08-08,2023-06-19
CZ0323159,Osmoderma barnabita,2013-11-06,2013-11-06
CZ0323160,Bombina variegata,2012-05-22,2024-06-07
CZ0323162,Bombina variegata,2013-08-15,2024-07-14
CZ0323165,Lampetra planeri,2015-10-19,2024-10-22
CZ0323166,Lampetra planeri,2015-10-25,2022-05-04
CZ0323167,Bombina variegata,2012-06-16,2024-06-25
CZ0323169,Bombina variegata,2012-06-17,2024-07-24
CZ0323478,Bombina variegata,2014-07-16,2024-07-14
CZ0323812,Lampetra planeri,2014-10-13,2023-10-09
CZ0323824,Lampetra planeri,2015-09-24,2023-10-27
CZ0323825,Lampetra planeri,2021-11-16,2021-11-16
CZ0323826,Bombina variegata,2012-06-17,2024-07-24
CZ0324025,Lampetra planeri,2015-11-17,2015-11-17
CZ0324026,Lampetra planeri,2012-10-17,2022-09-24
CZ0410020,Lampetra planeri,2015-09-15,2021-06-05
CZ0413177,Lampetra planeri,2013-10-04,2023-08-16
CZ0413190,Osmoderma barnabita,2018-10-03,2018-10-03
CZ0413194,Lampetra planeri,2015-09-21,2023-08-11
CZ0414110,Lampetra planeri,2015-09-01,2015-09-01
CZ0414127,Lampetra planeri,2015-09-01,2015-09-01
CZ0420021,Osmoderma barnabita,2015-10-01,2015-10-01
CZ0420144,Lampetra planeri,2015-09-01,2015-09-01
CZ0423202,Osmoderma barnabita,2021-05-23,2021-05-23
CZ0423210,Osmoderma barnabita,2015-10-01,2025-03-02
CZ0423213,Osmoderma barnabita,2025-03-02,2025-03-02
CZ0423217,Osmoderma barnabita,2013-09-23,2014-11-13
CZ0423223,Osmoderma barnabita,2015-05-17,2022-08-06
CZ0423224,Osmoderma barnabita,2013-12-11,2022-11-28
CZ0423233,Osmoderma barnabita,2020-04-18,2020-04-29
CZ0423510,Lampetra planeri,2015-09-01,2015-09-01
CZ0424030,Lampetra planeri,2015-09-01,2015-09-01
CZ0424031,Lampetra planeri,2012-10-20,2024-04-27
CZ0424125,Bombina variegata,2024-04-15,2024-04-15
CZ0424127,Lampetra planeri,2015-09-01,2015-09-01
CZ0424127,Osmoderma barnabita,2014-07-17,2021-10-10
CZ0424138,Osmoderma barnabita,2018-10-26,2018-10-26
CZ0510191,Lampetra planeri,2015-10-23,2015-10-23
CZ0510400,Lampetra planeri,2014-09-26,2014-09-26
CZ0510402,Lampetra planeri,2014-09-26,2014-09-26
CZ0510415,Lampetra planeri,2014-10-04,2014-10-04
CZ0513254,Lampetra planeri,2013-10-02,2023-08-13
CZ0513255,Osmoderma barnabita,2023-07-24,2023-07-24
CZ0513256,Lampetra planeri,2012-10-07,2023-09-09
CZ0513505,Osmoderma barnabita,2017-03-28,2017-03-28
CZ0513506,Lampetra planeri,2013-05-07,2016-06-21
CZ0513508,Osmoderma barnabita,2012-05-25,2021-06-30
CZ0513509,Lampetra planeri,2015-05-17,2023-11-02
CZ0514042,Osmoderma barnabita,2013-07-17,2023-06-27
CZ0514243,Osmoderma barnabita,2012-08-01,2020-07-25
CZ0514670,Osmoderma barnabita,2016-03-25,2022-11-29
CZ0514672,Lampetra planeri,2012-09-18,2022-10-29
CZ0520028,Lampetra planeri,2015-11-25,2020-09-18
CZ0520604,Lampetra planeri,2015-10-08,2024-09-11
CZ0523007,Lampetra planeri,2013-08-01,2023-10-17
CZ0523010,Osmoderma barnabita,2017-10-27,2017-11-04
CZ0523264,Osmoderma barnabita,2016-05-20,2016-06-23
CZ0523267,Lampetra planeri,2013-06-27,2021-09-21
CZ0523268,Osmoderma barnabita,2017-03-21,2017-03-21
CZ0523274,Osmoderma barnabita,2012-06-29,2021-08-13
CZ0523277,Lampetra planeri,2014-09-30,2015-09-03
CZ0523280,Lampetra planeri,2013-09-20,2023-09-16
CZ0523284,Osmoderma barnabita,2012-06-14,2023-08-03
CZ0523290,Osmoderma barnabita,2012-05-01,2017-06-09
CZ0524044,Lampetra planeri,2012-08-15,2018-10-09
CZ0530033,Lampetra planeri,2013-09-23,2013-09-23
CZ0530034,Lampetra planeri,2013-09-23,2013-09-23
CZ0533295,Osmoderma barnabita,2012-06-27,2022-07-01
CZ0533297,Osmoderma barnabita,2012-06-19,2015-07-23
CZ0533300,Osmoderma barnabita,2014-07-05,2021-08-20
CZ0533301,Lampetra planeri,2012-04-02,2023-10-15
CZ0533302,Osmoderma barnabita,2014-07-06,2021-07-15
CZ0533307,Osmoderma barnabita,2022-06-24,2022-06-24
CZ0533308,Osmoderma barnabita,2014-05-20,2014-05-20
CZ0533309,Osmoderma barnabita,2012-06-27,2022-07-22
CZ0533310,Osmoderma barnabita,2021-05-24,2021-05-24
CZ0533314,Lampetra planeri,2012-10-18,2023-10-02
CZ0533316,Osmoderma barnabita,2012-06-21,2021-09-16
CZ0533501,Osmoderma barnabita,2015-07-19,2022-08-02
CZ0533696,Osmoderma barnabita,2016-12-20,2023-08-02
CZ0533698,Osmoderma barnabita,2016-12-01,2022-02-10
CZ0534053,Lampetra planeri,2018-10-17,2018-10-17
CZ0534053,Osmoderma barnabita,2018-05-08,2018-08-27
CZ0610159,Osmoderma barnabita,2021-08-06,2022-07-22
CZ0610179,Osmoderma barnabita,2021-07-05,2021-07-05
CZ0612149,Osmoderma barnabita,2012-05-28,2021-10-31
CZ0613002,Osmoderma barnabita,2014-05-21,2014-06-17
CZ0613005,Lampetra planeri,2015-11-02,2021-08-13
CZ0613013,Bombina variegata,2021-04-26,2021-06-05
CZ0613321,Lampetra planeri,2013-09-10,2023-09-19
CZ0613333,Lampetra planeri,2014-05-18,2022-09-01
CZ0613334,Lampetra planeri,2013-08-21,2013-08-21
CZ0613816,Osmoderma barnabita,2015-01-01,2023-09-01
CZ0614131,Osmoderma barnabita,2012-03-09,2022-06-24
CZ0620084,Osmoderma barnabita,2015-11-10,2019-01-01
CZ0623022,Osmoderma barnabita,2024-04-22,2024-04-22
CZ0623025,Osmoderma barnabita,2012-08-26,2020-10-04
CZ0623032,Osmoderma barnabita,2016-10-24,2016-10-27
CZ0623045,Osmoderma barnabita,2014-07-10,2014-07-10
CZ0623349,Bombina variegata,2013-07-01,2024-07-20
CZ0623801,Osmoderma barnabita,2019-01-01,2019-01-01
CZ0624001,Osmoderma barnabita,2016-05-24,2016-05-24
CZ0624072,Bombina variegata,2012-06-07,2024-07-16
CZ0624095,Osmoderma barnabita,2012-06-23,2023-07-06
CZ0624096,Osmoderma barnabita,2023-10-29,2023-10-29
CZ0624099,Osmoderma barnabita,2012-01-01,2022-04-11
CZ0624119,Osmoderma barnabita,2013-01-01,2023-08-24
CZ0624130,Osmoderma barnabita,2014-08-08,2024-04-07
CZ0713004,Lampetra planeri,2013-09-23,2013-09-23
CZ0713374,Lampetra planeri,2014-04-28,2023-10-23
CZ0713385,Bombina variegata,2012-05-09,2024-07-14
CZ0713398,Bombina variegata,2012-05-06,2024-07-31
CZ0713398,Lampetra planeri,2020-09-07,2020-09-07
CZ0713827,Bombina variegata,2014-04-11,2024-07-31
CZ0714073,Lampetra planeri,2013-09-23,2015-09-01
CZ0714081,Lampetra planeri,2015-06-08,2021-06-11
CZ0714082,Osmoderma barnabita,2013-04-06,2013-04-06
CZ0714085,Osmoderma barnabita,2022-10-27,2022-10-27
CZ0714133,Bombina variegata,2012-05-30,2021-04-01
CZ0714133,Lampetra planeri,2012-05-30,2016-09-23
CZ0720033,Bombina variegata,2019-07-08,2024-09-04
CZ0720185,Bombina variegata,2014-06-14,2014-06-14
CZ0720190,Bombina variegata,2012-06-04,2017-06-30
CZ0720422,Bombina variegata,2016-08-16,2016-08-16
CZ0720428,Bombina variegata,2013-04-06,2024-08-20
CZ0720435,Bombina variegata,2013-04-06,2024-07-14
CZ0720437,Bombina variegata,2022-08-10,2022-08-10
CZ0720441,Bombina variegata,2022-06-24,2023-06-15
CZ0720454,Bombina variegata,2021-05-26,2021-05-26
CZ0722199,Bombina variegata,2019-06-12,2019-06-12
CZ0723403,Bombina variegata,2012-03-28,2024-04-11
CZ0723406,Bombina variegata,2015-06-11,2015-06-11
CZ0723409,Bombina variegata,2019-04-09,2023-06-01
CZ0723412,Bombina variegata,2012-06-20,2024-06-17
CZ0723413,Bombina variegata,2020-06-15,2020-06-15
CZ0723416,Bombina variegata,2012-03-27,2024-05-09
CZ0723430,Bombina variegata,2014-05-22,2024-06-16
CZ0723434,Bombina variegata,2022-05-13,2022-05-13
CZ0724087,Bombina variegata,2017-07-13,2017-07-13
CZ0724087,Osmoderma barnabita,2013-01-01,2024-07-26
CZ0724089,Bombina variegata,2012-04-24,2024-11-01
CZ0724090,Bombina variegata,2012-05-24,2024-08-12
CZ0724091,Bombina variegata,2013-07-10,2024-08-15
CZ0724120,Osmoderma barnabita,2013-07-05,2022-06-15
CZ0724121,Bombina variegata,2018-05-28,2018-05-28
CZ0724429,Bombina variegata,2012-05-08,2023-05-06
CZ0724430,Bombina variegata,2012-07-12,2023-08-02
CZ0810004,Bombina variegata,2012-04-19,2024-05-30
CZ0810004,Lampetra planeri,2013-09-03,2017-10-02
CZ0810018,Bombina variegata,2012-06-05,2012-06-05
CZ0810035,Bombina variegata,2015-07-01,2015-07-01
CZ0810036,Bombina variegata,2012-06-02,2024-08-10
CZ0810425,Bombina variegata,2016-07-21,2016-07-21
CZ0813438,Bombina variegata,2022-05-14,2022-05-14
CZ0813447,Osmoderma barnabita,2013-07-15,2019-07-31
CZ0813449,Osmoderma barnabita,2015-07-07,2015-08-03
CZ0813451,Osmoderma barnabita,2015-06-06,2019-08-01
CZ0813456,Lampetra planeri,2015-07-21,2023-10-24
CZ0813457,Bombina variegata,2012-06-20,2024-10-17
CZ0813457,Osmoderma barnabita,2015-06-06,2019-08-01
CZ0813460,Osmoderma barnabita,2021-08-10,2021-08-10
CZ0813461,Osmoderma barnabita,2019-04-10,2019-09-02
CZ0813462,Lampetra planeri,2019-02-16,2019-02-17
CZ0813463,Osmoderma barnabita,2015-06-07,2019-07-10
CZ0813469,Bombina variegata,2012-05-02,2023-07-27
CZ0813475,Bombina variegata,2023-06-16,2023-06-16
CZ0813516,Bombina variegata,2013-06-09,2016-04-17
CZ0813516,Lampetra planeri,2018-10-05,2023-08-19
CZ0813810,Lampetra planeri,2018-10-12,2018-10-12
CZ0814092,Bombina variegata,2014-06-27,2022-09-04
CZ0814092,Lampetra planeri,2015-09-01,2015-09-01
CZ0814092,Osmoderma barnabita,2013-06-13,2023-02-21
CZ0814093,Bombina variegata,2013-07-09,2024-08-14
CZ0814093,Osmoderma barnabita,2024-03-08,2024-03-08
