kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0523280,Lampetra planeri,5362d,2018-10-19
CZ0523280,Lampetra planeri,5462b,2018-10-19
CZ0523280,Lampetra planeri,5462d,2023-09-16
CZ0523280,Lampetra planeri,5463a,2023-09-16
CZ0523280,Lampetra planeri,5463c,2023-09-16
CZ0523280,Lampetra planeri,5563a,2020-10-10
CZ0523284,Osmoderma barnabita,5762b,2023-08-03
CZ0523290,Osmoderma barnabita,5862a,2017-06-09
CZ0524044,Lampetra planeri,5258c,2013-09-23
CZ0524044,Lampetra planeri,5258d,2013-09-01
CZ0524044,Lampetra planeri,5259c,2015-09-01
CZ0524044,Lampetra planeri,5259d,2015-09-01
CZ0524044,Lampetra planeri,5260d,2013-09-01
CZ0524044,Lampetra planeri,5358b,2013-09-23
CZ0524044,Lampetra planeri,5358d,2017-06-17
CZ0524044,Lampetra planeri,5359a,2013-09-23
CZ0524044,Lampetra planeri,5359b,2013-09-01
CZ0524044,Lampetra planeri,5359c,2013-09-01
CZ0524044,Lampetra planeri,5359d,2017-05-29
CZ0524044,Lampetra planeri,5360b,2015-09-01
CZ0524044,Lampetra planeri,5360c,2013-09-01
CZ0524044,Lampetra planeri,5360d,2013-09-01
CZ0524044,Lampetra planeri,5361a,2015-09-01
CZ0524044,Lampetra planeri,5361c,2018-10-09
CZ0524044,Lampetra planeri,5460a,2018-10-09
CZ0524044,Lampetra planeri,5460b,2013-09-01
CZ0524044,Lampetra planeri,5461a,2013-09-01
CZ0530033,Lampetra planeri,6266d,2013-09-23
CZ0530034,Lampetra planeri,6065d,2013-09-23
CZ0533295,Osmoderma barnabita,6159c,2022-07-01
CZ0533295,Osmoderma barnabita,6159d,2022-07-01
CZ0533297,Osmoderma barnabita,5861d,2015-07-23
CZ0533300,Osmoderma barnabita,6059d,2021-08-20
CZ0533300,Osmoderma barnabita,6060a,2021-08-04
CZ0533300,Osmoderma barnabita,6060c,2021-08-04
CZ0533301,Lampetra planeri,6261d,2023-10-15
CZ0533302,Osmoderma barnabita,6059b,2021-07-15
CZ0533307,Osmoderma barnabita,5960b,2022-06-24
CZ0533308,Osmoderma barnabita,5959b,2014-05-20
CZ0533309,Osmoderma barnabita,5960d,2022-07-22
CZ0533310,Osmoderma barnabita,6161a,2021-05-24
CZ0533314,Lampetra planeri,5965b,2023-10-02
CZ0533314,Lampetra planeri,5965c,2022-10-15
CZ0533314,Lampetra planeri,5965d,2020-10-10
CZ0533314,Lampetra planeri,5966a,2023-10-02
CZ0533314,Lampetra planeri,5966b,2022-10-08
CZ0533316,Osmoderma barnabita,6062a,2021-09-16
CZ0533501,Osmoderma barnabita,6160b,2022-08-02
CZ0533696,Osmoderma barnabita,6060d,2023-08-02
CZ0533698,Osmoderma barnabita,5958b,2017-06-22
CZ0533698,Osmoderma barnabita,5958d,2022-02-10
CZ0534053,Lampetra planeri,6160b,2018-10-17
CZ0534053,Osmoderma barnabita,6160b,2018-08-27
CZ0610159,Osmoderma barnabita,6659c,2022-07-22
CZ0610179,Osmoderma barnabita,6961b,2021-07-05
CZ0612149,Osmoderma barnabita,7059d,2021-10-31
CZ0613002,Osmoderma barnabita,6758b,2014-06-17
CZ0613005,Lampetra planeri,6456a,2015-11-02
CZ0613005,Lampetra planeri,6456b,2021-08-13
CZ0613005,Lampetra planeri,6457a,2021-08-13
CZ0613013,Bombina variegata,6758d,2021-06-05
CZ0613321,Lampetra planeri,6558a,2023-09-19
CZ0613333,Lampetra planeri,6461b,2022-09-01
CZ0613333,Lampetra planeri,6462a,2019-11-06
CZ0613334,Lampetra planeri,6456d,2013-08-21
CZ0613816,Osmoderma barnabita,6762d,2020-07-25
CZ0613816,Osmoderma barnabita,6763c,2023-09-01
CZ0613816,Osmoderma barnabita,6863a,2020-07-25
CZ0614131,Osmoderma barnabita,6862b,2022-06-24
CZ0620084,Osmoderma barnabita,7065d,2019-01-01
CZ0623022,Osmoderma barnabita,7164b,2024-04-22
CZ0623022,Osmoderma barnabita,7164d,2024-04-22
CZ0623025,Osmoderma barnabita,6867a,2020-10-04
CZ0623032,Osmoderma barnabita,6965d,2016-10-27
CZ0623045,Osmoderma barnabita,7266b,2014-07-10
CZ0623349,Bombina variegata,7171a,2024-07-20
CZ0623801,Osmoderma barnabita,6965d,2019-01-01
CZ0624001,Osmoderma barnabita,7163c,2016-05-24
CZ0624072,Bombina variegata,7169d,2024-07-16
CZ0624072,Bombina variegata,7170a,2021-06-06
CZ0624072,Bombina variegata,7170b,2020-09-10
CZ0624072,Bombina variegata,7170c,2023-08-30
CZ0624072,Bombina variegata,7170d,2023-08-30
CZ0624095,Osmoderma barnabita,7060c,2023-07-06
CZ0624095,Osmoderma barnabita,7060d,2023-06-11
CZ0624096,Osmoderma barnabita,7162a,2023-10-29
CZ0624099,Osmoderma barnabita,7166a,2013-04-27
CZ0624099,Osmoderma barnabita,7166c,2019-05-01
CZ0624099,Osmoderma barnabita,7166d,2022-04-11
CZ0624099,Osmoderma barnabita,7167c,2022-04-11
CZ0624099,Osmoderma barnabita,7267a,2022-04-11
CZ0624119,Osmoderma barnabita,7168d,2023-08-24
CZ0624119,Osmoderma barnabita,7267a,2014-12-04
CZ0624119,Osmoderma barnabita,7267c,2022-04-11
CZ0624119,Osmoderma barnabita,7267d,2022-04-11
CZ0624119,Osmoderma barnabita,7268a,2022-04-10
CZ0624119,Osmoderma barnabita,7268c,2022-04-10
CZ0624119,Osmoderma barnabita,7367b,2022-04-11
CZ0624119,Osmoderma barnabita,7367d,2022-04-11
CZ0624130,Osmoderma barnabita,6666c,2024-04-07
CZ0713004,Lampetra planeri,5968c,2013-09-23
CZ0713374,Lampetra planeri,6067c,2023-10-23
CZ0713374,Lampetra planeri,6067d,2023-10-23
CZ0713385,Bombina variegata,5769b,2024-07-14
CZ0713398,Bombina variegata,5770a,2024-07-31
CZ0713398,Lampetra planeri,5770a,2020-09-07
CZ0713827,Bombina variegata,5669a,2024-07-31
CZ0713827,Bombina variegata,5669c,2024-06-17
CZ0714073,Lampetra planeri,6167b,2013-09-23
CZ0714073,Lampetra planeri,6167d,2013-09-23
CZ0714073,Lampetra planeri,6267b,2013-09-23
CZ0714073,Lampetra planeri,6267d,2015-09-01
CZ0714073,Lampetra planeri,6268c,2015-09-01
CZ0714081,Lampetra planeri,5769d,2021-06-11
CZ0714082,Osmoderma barnabita,6570b,2013-04-06
CZ0714085,Osmoderma barnabita,6569d,2022-10-27
CZ0714133,Bombina variegata,6370b,2012-06-10
CZ0714133,Bombina variegata,6370d,2021-04-01
CZ0714133,Bombina variegata,6371a,2012-05-30
CZ0714133,Lampetra planeri,6271c,2012-05-30
CZ0714133,Lampetra planeri,6271d,2016-09-23
CZ0714133,Lampetra planeri,6272c,2016-09-23
CZ0714133,Lampetra planeri,6371a,2016-09-23
CZ0714133,Lampetra planeri,6371c,2016-09-23
CZ0720033,Bombina variegata,6673c,2022-05-10
CZ0720033,Bombina variegata,6673d,2024-09-04
CZ0720185,Bombina variegata,6672a,2014-06-14
CZ0720190,Bombina variegata,6672c,2017-06-30
CZ0720422,Bombina variegata,7072b,2016-08-16
CZ0720428,Bombina variegata,6973c,2024-08-20
CZ0720435,Bombina variegata,6874c,2024-07-14
CZ0720437,Bombina variegata,6973b,2022-08-10
CZ0720441,Bombina variegata,6874c,2023-06-15
CZ0720454,Bombina variegata,6874d,2021-05-26
CZ0722199,Bombina variegata,6874d,2019-06-12
CZ0723403,Bombina variegata,6872a,2024-04-11
CZ0723406,Bombina variegata,6672a,2015-06-11
CZ0723409,Bombina variegata,6771a,2023-06-01
CZ0723412,Bombina variegata,6971d,2024-06-17
CZ0723413,Bombina variegata,6972c,2020-06-15
CZ0723416,Bombina variegata,6971a,2024-05-09
CZ0723430,Bombina variegata,6972c,2024-06-16
CZ0723434,Bombina variegata,6974a,2022-05-13
CZ0724087,Bombina variegata,6972a,2017-07-13
CZ0724087,Osmoderma barnabita,6972a,2024-07-26
CZ0724087,Osmoderma barnabita,6972c,2024-07-26
CZ0724089,Bombina variegata,6376d,2022-06-14
CZ0724089,Bombina variegata,6377a,2014-07-06
CZ0724089,Bombina variegata,6377c,2024-11-01
CZ0724089,Bombina variegata,6377d,2019-08-28
CZ0724089,Bombina variegata,6378c,2024-06-07
CZ0724089,Bombina variegata,6474c,2024-05-31
CZ0724089,Bombina variegata,6474d,2024-05-30
CZ0724089,Bombina variegata,6475c,2024-06-14
CZ0724089,Bombina variegata,6476a,2022-08-03
CZ0724089,Bombina variegata,6476b,2024-06-06
CZ0724089,Bombina variegata,6476c,2024-05-27
CZ0724089,Bombina variegata,6476d,2024-09-11
CZ0724089,Bombina variegata,6477a,2024-07-16
CZ0724089,Bombina variegata,6477b,2024-05-06
CZ0724089,Bombina variegata,6477c,2024-09-04
CZ0724089,Bombina variegata,6477d,2024-05-29
CZ0724089,Bombina variegata,6478a,2020-08-14
CZ0724089,Bombina variegata,6478c,2023-07-11
CZ0724089,Bombina variegata,6574b,2024-08-24
CZ0724089,Bombina variegata,6574c,2024-07-27
CZ0724089,Bombina variegata,6574d,2024-03-15
CZ0724089,Bombina variegata,6575a,2024-08-12
CZ0724089,Bombina variegata,6575b,2024-08-18
CZ0724089,Bombina variegata,6575c,2023-06-10
CZ0724089,Bombina variegata,6575d,2024-07-27
CZ0724089,Bombina variegata,6576a,2024-08-19
CZ0724089,Bombina variegata,6576b,2024-06-28
CZ0724089,Bombina variegata,6576c,2024-05-10
CZ0724089,Bombina variegata,6576d,2024-09-07
CZ0724089,Bombina variegata,6577a,2023-08-19
CZ0724089,Bombina variegata,6577b,2024-07-08
CZ0724089,Bombina variegata,6674a,2024-07-31
CZ0724089,Bombina variegata,6674b,2024-09-06
CZ0724089,Bombina variegata,6674c,2023-05-21
CZ0724089,Bombina variegata,6674d,2024-06-08
CZ0724089,Bombina variegata,6675a,2024-06-21
CZ0724089,Bombina variegata,6675b,2024-09-08
CZ0724089,Bombina variegata,6675c,2024-06-17
CZ0724089,Bombina variegata,6675d,2022-06-02
CZ0724089,Bombina variegata,6676a,2024-09-07
CZ0724089,Bombina variegata,6676b,2023-07-08
CZ0724089,Bombina variegata,6676c,2021-08-22
CZ0724089,Bombina variegata,6774a,2022-06-09
CZ0724089,Bombina variegata,6774b,2024-08-07
CZ0724089,Bombina variegata,6774c,2024-07-12
CZ0724089,Bombina variegata,6774d,2024-07-12
CZ0724089,Bombina variegata,6775a,2024-06-15
CZ0724089,Bombina variegata,6775b,2023-06-30
CZ0724089,Bombina variegata,6874a,2014-04-24
CZ0724089,Bombina variegata,6874b,2017-08-18
CZ0724090,Bombina variegata,7071d,2024-05-28
CZ0724090,Bombina variegata,7072a,2020-09-16
CZ0724090,Bombina variegata,7072b,2022-06-28
CZ0724090,Bombina variegata,7072c,2024-08-12
CZ0724090,Bombina variegata,7072d,2024-06-06
CZ0724090,Bombina variegata,7073a,2024-07-25
CZ0724090,Bombina variegata,7073c,2022-06-14
CZ0724090,Bombina variegata,7171a,2022-08-25
CZ0724090,Bombina variegata,7171b,2024-05-28
CZ0724090,Bombina variegata,7171c,2024-07-19
CZ0724090,Bombina variegata,7172a,2023-06-03
CZ0724091,Bombina variegata,6770c,2016-07-04
CZ0724091,Bombina variegata,6770d,2015-04-24
CZ0724091,Bombina variegata,6869c,2015-05-17
CZ0724091,Bombina variegata,6869d,2021-08-11
CZ0724091,Bombina variegata,6870a,2015-06-20
CZ0724091,Bombina variegata,6870b,2024-08-15
CZ0724091,Bombina variegata,6969a,2020-07-07
CZ0724120,Osmoderma barnabita,6870d,2022-06-15
CZ0724120,Osmoderma barnabita,6871c,2015-04-21
CZ0724121,Bombina variegata,6673b,2018-05-28
CZ0724429,Bombina variegata,6672a,2022-06-03
CZ0724429,Bombina variegata,6672b,2023-05-06
CZ0724430,Bombina variegata,6974a,2021-07-26
CZ0724430,Bombina variegata,6974b,2022-06-28
CZ0724430,Bombina variegata,6974c,2023-08-02
CZ0810004,Bombina variegata,6376a,2021-09-06
CZ0810004,Bombina variegata,6376b,2024-05-30
CZ0810004,Bombina variegata,6376d,2020-06-07
CZ0810004,Lampetra planeri,6376a,2015-07-27
CZ0810004,Lampetra planeri,6376b,2015-07-27
CZ0810004,Lampetra planeri,6376d,2017-10-02
CZ0810018,Bombina variegata,6169b,2012-06-05
CZ0810035,Bombina variegata,6473b,2015-07-01
CZ0810036,Bombina variegata,6474b,2024-08-10
CZ0810425,Bombina variegata,6276d,2016-07-21
CZ0813438,Bombina variegata,6373d,2022-05-14
CZ0813447,Osmoderma barnabita,6375c,2019-07-31
CZ0813449,Osmoderma barnabita,6175a,2015-08-03
CZ0813451,Osmoderma barnabita,6176b,2019-08-01
CZ0813451,Osmoderma barnabita,6177a,2019-08-01
CZ0813456,Lampetra planeri,6069b,2023-10-24
CZ0813456,Lampetra planeri,6070a,2023-10-24
CZ0813456,Lampetra planeri,6070c,2023-10-24
CZ0813457,Bombina variegata,6076c,2024-08-16
CZ0813457,Bombina variegata,6076d,2024-10-17
CZ0813457,Osmoderma barnabita,6076c,2019-08-01
CZ0813457,Osmoderma barnabita,6076d,2019-08-01
CZ0813460,Osmoderma barnabita,5672c,2021-08-10
CZ0813461,Osmoderma barnabita,6075d,2019-09-02
CZ0813462,Lampetra planeri,6476a,2019-02-17
CZ0813463,Osmoderma barnabita,6275d,2019-07-10
CZ0813469,Bombina variegata,5872c,2023-07-27
CZ0813475,Bombina variegata,6276a,2023-06-16
CZ0813516,Bombina variegata,6378c,2016-04-17
CZ0813516,Bombina variegata,6478b,2015-07-19
CZ0813516,Lampetra planeri,6378a,2023-08-18
CZ0813516,Lampetra planeri,6378c,2023-08-18
CZ0813516,Lampetra planeri,6478a,2020-03-01
CZ0813516,Lampetra planeri,6478b,2023-08-19
CZ0813810,Lampetra planeri,6272c,2018-10-12
CZ0814092,Bombina variegata,6274d,2014-06-27
CZ0814092,Bombina variegata,6275a,2022-09-04
CZ0814092,Lampetra planeri,6274c,2015-09-01
CZ0814092,Lampetra planeri,6274d,2015-09-01
CZ0814092,Lampetra planeri,6275c,2015-09-01
CZ0814092,Lampetra planeri,6373b,2015-09-01
CZ0814092,Lampetra planeri,6373c,2015-09-01
CZ0814092,Lampetra planeri,6373d,2015-09-01
CZ0814092,Lampetra planeri,6374a,2015-09-01
CZ0814092,Osmoderma barnabita,6274c,2022-05-02
CZ0814092,Osmoderma barnabita,6274d,2023-02-21
CZ0814092,Osmoderma barnabita,6275a,2015-10-29
CZ0814092,Osmoderma barnabita,6275c,2023-01-17
CZ0814092,Osmoderma barnabita,6373b,2020-02-20
CZ0814092,Osmoderma barnabita,6373c,2014-08-20
CZ0814092,Osmoderma barnabita,6373d,2023-01-03
CZ0814092,Osmoderma barnabita,6374a,2023-02-21
CZ0814093,Bombina variegata,6075d,2013-07-09
CZ0814093,Bombina variegata,6076c,2024-08-14
CZ0814093,Osmoderma barnabita,6076c,2024-03-08
